City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
206,ponta do sol,32.6667,-17.1,18.35,47,2,2.98,PT,1680407024
207,georgetown,5.4112,100.3354,30.96,79,20,2.57,MY,1680407025
208,dikson,73.5069,80.5464,-14.69,95,100,4.47,RU,1680407025
209,buluang,13.3068,123.3425,31.99,49,98,1.42,PH,1680407025
210,yakeshi,49.2833,120.7333,13.87,55,53,3.69,CN,1680407026
211,barra patuca,15.8,-84.2833,25.54,74,2,4.49,HN,1680407026
212,port moresby,-9.4431,147.1797,30.68,66,40,4.12,PG,1680406925
213,hailar,49.2,119.7,12.18,50,63,3.56,CN,1680407026
214,wanaka,-44.7,169.15,17.28,52,74,5.36,NZ,1680407027
215,doha,25.2867,51.5333,18.99,50,0,11.32,QA,1680407027
216,balkhash,46.844,74.9804,-0.66,24,0,14.0,KZ,1680407027
217,luderitz,-26.6481,15.1594,16.11,87,69,3.79,NA,1680407028
218,grindavik,63.8424,-22.4338,4.26,81,75,9.77,IS,1680407028
219,kinablangan,7.6947,126.5503,28.01,77,98,3.33,PH,1680407029
220,lodwar,3.1191,35.5973,29.18,48,93,1.34,KE,1680407029
221,viedma,-40.8135,-62.9967,16.96,34,74,3.78,AR,1680407029
222,puerto maldonado,-12.6,-69.1833,21.95,99,97,1.03,PE,1680407030
223,koran,43.8103,18.5689,-1.27,100,0,0.0,BA,1680407030
224,smithers,54.7804,-127.1743,2.18,48,20,3.09,CA,1680406904
225,coruripe,-10.1256,-36.1756,25.1,82,100,2.2,BR,1680407031
226,inyonga,-6.7167,32.0667,16.24,97,21,1.57,TZ,1680407031
227,saint george,37.1041,-113.5841,15.33,38,0,1.54,US,1680406742
228,yumen,40.2833,97.2,4.43,23,4,8.34,CN,1680407032
229,san francisco,37.7749,-122.4194,12.93,83,20,6.17,US,1680406618
230,nikolskoye,59.7035,30.7861,-1.06,96,71,3.35,RU,1680407032
231,yenagoa,4.9247,6.2642,24.35,93,100,1.47,NG,1680407033
232,wanning,18.8003,110.3967,28.6,69,64,5.46,CN,1680407033
233,pangkalanbuun,-2.6833,111.6167,32.34,52,88,2.13,ID,1680406772
234,blagoyevo,63.3667,47.9167,-3.04,95,100,0.32,RU,1680407034
235,pevek,69.7008,170.3133,-23.58,92,100,1.88,RU,1680407035
236,oranjemund,-28.55,16.4333,16.08,91,62,1.13,NA,1680406694
237,ndele,8.4109,20.6473,21.71,20,52,1.84,CF,1680407035
238,mabaruma,8.2,-59.7833,22.6,93,73,1.42,GY,1680407036
239,labuan,5.2767,115.2417,28.2,83,20,0.51,MY,1680407036
240,srednekolymsk,67.45,153.6833,-19.08,80,100,3.71,RU,1680407036
241,iqaluit,63.7506,-68.5145,-18.15,71,0,1.54,CA,1680407037
242,general roca,-39.0333,-67.5833,20.9,45,52,2.83,AR,1680406544
243,medianeira,-25.2953,-54.0939,15.59,66,0,1.95,BR,1680407037
244,samarai,-10.6167,150.6667,29.0,70,73,4.75,PG,1680407037
245,hobyo,5.3505,48.5268,28.84,69,83,3.5,SO,1680407038
246,atakpame,7.5333,1.1333,23.54,85,43,1.71,TG,1680407038
247,touros,-5.1989,-35.4608,24.74,87,98,2.75,BR,1680407039
248,fairbanks,64.8378,-147.7164,-1.89,51,75,3.6,US,1680407039
249,lundamo,63.1333,10.3,-6.12,89,34,1.87,NO,1680407039
250,khatanga,71.9667,102.5,-5.83,94,100,7.86,RU,1680407039
251,shangrao,28.4532,117.9686,24.52,58,25,3.69,CN,1680407040
252,williston,48.147,-103.618,3.41,94,97,2.14,US,1680407040
253,egvekinot,66.3167,-179.1667,-12.62,94,100,1.2,RU,1680407040
254,iskele,39.484,26.9278,16.05,77,75,6.17,TR,1680407041
255,ornskoldsvik,63.2909,18.7153,-7.47,79,20,3.09,SE,1680407041
256,quartucciu,39.2519,9.1794,11.65,80,20,2.57,IT,1680407042
257,tainan,22.9908,120.2133,31.63,54,40,4.12,TW,1680407042
258,shestakovo,56.4915,103.96,-7.64,61,82,1.78,RU,1680407042
259,astana,51.1801,71.446,-1.03,51,0,8.0,KZ,1680406868
260,sao miguel do araguaia,-13.275,-50.1628,21.61,95,89,1.81,BR,1680406865
261,broome,42.2506,-75.833,5.56,77,100,5.36,US,1680407043
262,boa esperanca,-21.09,-45.5658,17.71,87,2,1.36,BR,1680407043
263,roquetas de mar,36.7642,-2.6148,22.0,64,93,3.89,ES,1680407044
264,sitka,57.0531,-135.33,2.94,81,75,3.09,US,1680407044
265,joao pinheiro,-17.7425,-46.1725,20.43,75,100,1.49,BR,1680406809
266,batagay-alyta,67.8006,130.4114,-16.19,74,100,2.86,RU,1680407045
267,tuatapere,-46.1333,167.6833,12.0,71,70,3.49,NZ,1680407046
268,tual,-5.6667,132.75,27.93,74,40,3.54,ID,1680407046
269,codrington,-38.2667,141.9667,15.45,59,74,3.91,AU,1680407046
270,rey bouba,8.6724,14.1786,27.7,20,78,1.17,CM,1680407047
271,vizinga,61.0749,50.1031,0.87,98,100,2.63,RU,1680407047
272,vostok,46.4856,135.8833,12.11,41,92,1.07,RU,1680407048
273,marsabit,2.3284,37.9899,18.89,81,13,5.44,KE,1680407048
274,faya,18.3851,42.4509,14.29,85,31,2.13,SA,1680407049
275,faanui,-16.4833,-151.75,28.28,68,2,3.52,PF,1680407049
276,kamenka,51.3223,42.7678,4.44,77,100,2.33,RU,1680407049
277,mukhen,48.1,136.1,14.98,30,100,2.25,RU,1680407050
278,bubaque,11.2833,-15.8333,24.87,76,0,4.91,GW,1680407051
279,alamosa,37.4695,-105.87,3.99,26,0,5.66,US,1680407051
280,rio grande,-32.035,-52.0986,18.41,65,5,3.25,BR,1680407051
281,san patricio,28.017,-97.5169,24.92,82,75,4.21,US,1680407052
282,cherskiy,68.75,161.3,-22.76,90,99,1.98,RU,1680407052
283,saint-augustin,51.226,-58.6502,-2.01,95,100,9.37,CA,1680407052
284,vila,42.0304,-8.1588,1.49,91,12,2.21,PT,1680407052
285,adrar,20.5022,-10.0711,22.13,8,0,4.3,MR,1680407053
286,hualmay,-11.0964,-77.6139,24.82,82,100,3.13,PE,1680407053
